INSERT INTO `post` (`p_parent_id`, `p_text`, `p_date`, `p_level`, `p_root`) VALUES
(NULL, Сообщение 1, 2017-01-19 22:53, 0, 0),
(1, Сообщение 3, 2017-01-19 22:57, 0, 0),
(NULL, Сообщение 2, 2017-01-19 22:57, 0, 0),
(1, Сообщение 4, 2017-01-19 22:57, 0, 0),
(3, Сообщение 5, 2017-01-20 22:57, 0, 0),
(3, Сообщение 6, 2017-01-21 22:57, 0, 0),
(5, Сообщение 7, 2017-01-22 22:57, 0, 0),
(7, Сообщение 8, 2017-01-23 22:57, 0, 0),
(6, Сообщение 9, 2017-01-24 22:57, 0, 0),
(3, Сообщение 10, 2017-01-25 22:57, 0, 0),
(NULL, Сообщение 11, 2017-01-26 22:57, 0, 0),
(11, Сообщение 12, 2017-01-27 22:57, 0, 0),
(12, Сообщение 13, 2017-01-28 22:57, 0, 0),
(13, Сообщение 14, 2017-01-29 22:57, 0, 0),
(14, Сообщение 15, 2017-01-30 22:57, 0, 0),
(12, Сообщение 16, 2017-01-31 22:57, 0, 0),
(11, Сообщение 17, 2017-02-01 22:57, 0, 0),
(12, Сообщение 18, 2017-02-02 22:57, 0, 0),
(18, Сообщение 19, 2017-02-03 22:57, 0, 0),
(16, Сообщение 20, 2017-02-04 22:57, 0, 0),
(NULL, Сообщение 21, 2017-02-05 22:57, 0, 0),
(21, Сообщение 22, 2017-02-06 22:57, 0, 0),
(21, Сообщение 23, 2017-02-07 22:57, 0, 0),
(21, Сообщение 24, 2017-02-08 22:57, 0, 0),
(22, Сообщение 25, 2017-02-09 22:57, 0, 0),
(22, Сообщение 26, 2017-02-10 22:57, 0, 0),
(23, Сообщение 27, 2017-02-11 22:57, 0, 0),
(22, Сообщение 28, 2017-02-12 22:57, 0, 0),
(21, Сообщение 29, 2017-02-13 22:57, 0, 0),
(22, Сообщение 30, 2017-02-14 22:57, 0, 0),
(23, Сообщение 31, 2017-02-15 22:57, 0, 0),
(24, Сообщение 32, 2017-02-16 22:57, 0, 0),
(NULL, Сообщение 33, 2017-02-17 22:57, 0, 0),
(33, Сообщение 34, 2017-02-18 22:57, 0, 0),
(34, Сообщение 35, 2017-02-19 22:57, 0, 0),
(35, Сообщение 36, 2017-02-20 22:57, 0, 0),
(36, Сообщение 37, 2017-02-21 22:57, 0, 0),
(37, Сообщение 38, 2017-02-22 22:57, 0, 0),
(38, Сообщение 39, 2017-02-23 22:57, 0, 0),
(39, Сообщение 40, 2017-02-24 22:57, 0, 0),
(40, Сообщение 41, 2017-02-25 22:57, 0, 0),
(NULL, Сообщение 42, 2017-02-26 22:57, 0, 0),
(42, Сообщение 43, 2017-02-27 22:57, 0, 0),
(43, Сообщение 44, 2017-02-28 22:57, 0, 0),
(43, Сообщение 45, 2017-03-01 22:57, 0, 0),
(43, Сообщение 46, 2017-03-02 22:57, 0, 0),
(43, Сообщение 47, 2017-03-03 22:57, 0, 0),
(43, Сообщение 48, 2017-03-04 22:57, 0, 0),
(43, Сообщение 49, 2017-03-05 22:57, 0, 0),
(NULL, Сообщение 50, 2017-03-06 22:57, 0, 0),
(50, Сообщение 51, 2017-03-07 22:57, 0, 0),
(51, Сообщение 52, 2017-03-08 22:57, 0, 0),
(52, Сообщение 53, 2017-03-09 22:57, 0, 0),
(53, Сообщение 54, 2017-03-10 22:57, 0, 0),
(54, Сообщение 55, 2017-03-11 22:57, 0, 0),
(55, Сообщение 56, 2017-03-12 22:57, 0, 0),
(56, Сообщение 57, 2017-03-13 22:57, 0, 0),
(NULL, Сообщение 58, 2017-03-14 22:57, 0, 0),
(58, Сообщение 59, 2017-03-15 22:57, 0, 0),
(59, Сообщение 60, 2017-03-16 22:57, 0, 0),
(59, Сообщение 61, 2017-03-17 22:57, 0, 0),
(59, Сообщение 62, 2017-03-18 22:57, 0, 0),
(60, Сообщение 63, 2017-03-19 22:57, 0, 0),
(61, Сообщение 64, 2017-03-20 22:57, 0, 0),
(61, Сообщение 65, 2017-03-21 22:57, 0, 0),
(62, Сообщение 66, 2017-03-22 22:57, 0, 0),
(63, Сообщение 67, 2017-03-23 22:57, 0, 0),
(64, Сообщение 68, 2017-03-24 22:57, 0, 0),
(65, Сообщение 69, 2017-03-25 22:57, 0, 0),
(66, Сообщение 70, 2017-03-26 22:57, 0, 0),
(67, Сообщение 71, 2017-03-27 22:57, 0, 0),
(68, Сообщение 72, 2017-03-28 22:57, 0, 0),
(69, Сообщение 73, 2017-03-29 22:57, 0, 0),
(70, Сообщение 74, 2017-03-30 22:57, 0, 0),
(71, Сообщение 75, 2017-03-31 22:57, 0, 0),
(72, Сообщение 76, 2017-04-01 22:57, 0, 0),
(73, Сообщение 77, 2017-04-02 22:57, 0, 0),
(74, Сообщение 78, 2017-04-03 22:57, 0, 0),
(75, Сообщение 79, 2017-04-04 22:57, 0, 0),
(76, Сообщение 80, 2017-04-05 22:57, 0, 0),
(80, Сообщение 81, 2017-04-06 22:57, 0, 0),
(80, Сообщение 82, 2017-04-07 22:57, 0, 0),
(NULL, Сообщение 83, 2017-04-08 22:57, 0, 0),
(83, Сообщение 84, 2017-04-09 22:57, 0, 0),
(84, Сообщение 85, 2017-04-10 22:57, 0, 0),
(83, Сообщение 86, 2017-04-11 22:57, 0, 0),
(84, Сообщение 87, 2017-04-12 22:57, 0, 0),
(87, Сообщение 88, 2017-04-13 22:57, 0, 0),
(87, Сообщение 89, 2017-04-14 22:57, 0, 0),
(87, Сообщение 90, 2017-04-15 22:57, 0, 0),
(87, Сообщение 91, 2017-04-16 22:57, 0, 0),
(87, Сообщение 92, 2017-04-17 22:57, 0, 0),
(87, Сообщение 93, 2017-04-18 22:57, 0, 0),
(87, Сообщение 94, 2017-04-19 22:57, 0, 0),
(87, Сообщение 95, 2017-04-20 22:57, 0, 0),
(87, Сообщение 96, 2017-04-21 22:57, 0, 0),
(87, Сообщение 97, 2017-04-22 22:57, 0, 0),
(87, Сообщение 98, 2017-04-23 22:57, 0, 0),
(87, Сообщение 99, 2017-04-24 22:57, 0, 0),
(87, Сообщение 100, 2017-04-25 22:57, 0, 0),
(87, Сообщение 101, 2017-04-26 22:57, 0, 0),
(NULL, Сообщение 102, 2017-04-27 22:57, 0, 0),
(102, Сообщение 103, 2017-04-28 22:57, 0, 0),
(103, Сообщение 104, 2017-04-29 22:57, 0, 0),
(104, Сообщение 105, 2017-04-30 22:57, 0, 0),
(105, Сообщение 106, 2017-05-01 22:57, 0, 0),
(106, Сообщение 107, 2017-05-02 22:57, 0, 0),
(107, Сообщение 108, 2017-05-03 22:57, 0, 0),
(108, Сообщение 109, 2017-05-04 22:57, 0, 0),
(108, Сообщение 110, 2017-05-05 22:57, 0, 0),
(108, Сообщение 111, 2017-05-06 22:57, 0, 0),
(109, Сообщение 112, 2017-05-07 22:57, 0, 0),
(110, Сообщение 113, 2017-05-08 22:57, 0, 0),
(111, Сообщение 114, 2017-05-09 22:57, 0, 0),
(NULL, Сообщение 115, 2017-05-10 22:57, 0, 0),
(115, Сообщение 116, 2017-05-11 22:57, 0, 0),
(115, Сообщение 117, 2017-05-12 22:57, 0, 0),
(115, Сообщение 118, 2017-05-13 22:57, 0, 0),
(116, Сообщение 119, 2017-05-14 22:57, 0, 0),
(117, Сообщение 120, 2017-05-15 22:57, 0, 0),
(118, Сообщение 121, 2017-05-16 22:57, 0, 0),
(119, Сообщение 122, 2017-05-17 22:57, 0, 0),
(120, Сообщение 123, 2017-05-18 22:57, 0, 0),
(120, Сообщение 124, 2017-05-19 22:57, 0, 0),
(120, Сообщение 125, 2017-05-20 22:57, 0, 0),
(120, Сообщение 126, 2017-05-21 22:57, 0, 0),
(121, Сообщение 127, 2017-05-22 22:57, 0, 0),
(122, Сообщение 128, 2017-05-23 22:57, 0, 0),
(123, Сообщение 129, 2017-05-24 22:57, 0, 0),
(NULL, Сообщение 130, 2017-05-25 22:57, 0, 0),
(130, Сообщение 131, 2017-05-26 22:57, 0, 0),
(131, Сообщение 132, 2017-05-27 22:57, 0, 0),
(132, Сообщение 133, 2017-05-28 22:57, 0, 0),
(133, Сообщение 134, 2017-05-29 22:57, 0, 0),
(134, Сообщение 135, 2017-05-30 22:57, 0, 0),
(135, Сообщение 136, 2017-05-31 22:57, 0, 0),
(136, Сообщение 137, 2017-06-01 22:57, 0, 0),
(137, Сообщение 138, 2017-06-02 22:57, 0, 0),
(138, Сообщение 139, 2017-06-03 22:57, 0, 0),
(139, Сообщение 140, 2017-06-04 22:57, 0, 0),
(140, Сообщение 141, 2017-06-05 22:57, 0, 0),
(141, Сообщение 142, 2017-06-06 22:57, 0, 0),
(142, Сообщение 143, 2017-06-07 22:57, 0, 0),
(NULL, Сообщение 144, 2017-06-08 22:57, 0, 0),
(140, Сообщение 145, 2017-06-09 22:57, 0, 0),
(140, Сообщение 146, 2017-06-10 22:57, 0, 0),
(140, Сообщение 147, 2017-06-11 22:57, 0, 0),
(140, Сообщение 148, 2017-06-12 22:57, 0, 0),
(140, Сообщение 149, 2017-06-13 22:57, 0, 0),
(140, Сообщение 150, 2017-06-14 22:57, 0, 0),
(140, Сообщение 151, 2017-06-15 22:57, 0, 0),
(140, Сообщение 152, 2017-06-16 22:57, 0, 0),
(140, Сообщение 153, 2017-06-17 22:57, 0, 0),
(140, Сообщение 154, 2017-06-18 22:57, 0, 0),
(140, Сообщение 155, 2017-06-19 22:57, 0, 0),
(155, Сообщение 156, 2017-06-20 22:57, 0, 0),
(156, Сообщение 157, 2017-06-21 22:57, 0, 0),
(157, Сообщение 158, 2017-06-22 22:57, 0, 0),
(158, Сообщение 159, 2017-06-23 22:57, 0, 0),
(NULL, Сообщение 160, 2017-06-24 22:57, 0, 0),
(157, Сообщение 161, 2017-06-25 22:57, 0, 0),
(157, Сообщение 162, 2017-06-26 22:57, 0, 0),
(157, Сообщение 163, 2017-06-27 22:57, 0, 0),
(157, Сообщение 164, 2017-06-28 22:57, 0, 0),
(157, Сообщение 165, 2017-06-29 22:57, 0, 0),
(157, Сообщение 166, 2017-06-30 22:57, 0, 0),
(157, Сообщение 167, 2017-07-01 22:57, 0, 0),
(157, Сообщение 168, 2017-07-02 22:57, 0, 0),
(NULL, Сообщение 169, 2017-07-03 22:57, 0, 0),
(122, Сообщение 170, 2017-07-04 22:57, 0, 0),
(121, Сообщение 171, 2017-07-05 22:57, 0, 0),
(119, Сообщение 172, 2017-07-06 22:57, 0, 0),
(170, Сообщение 173, 2017-07-07 22:57, 0, 0),
(171, Сообщение 174, 2017-07-08 22:57, 0, 0),
(172, Сообщение 175, 2017-07-09 22:57, 0, 0),
(173, Сообщение 176, 2017-07-10 22:57, 0, 0),
(174, Сообщение 177, 2017-07-11 22:57, 0, 0),
(175, Сообщение 178, 2017-07-12 22:57, 0, 0),
(176, Сообщение 179, 2017-07-13 22:57, 0, 0),
(NULL, Сообщение 180, 2017-07-14 22:57, 0, 0),
(180, Сообщение 181, 2017-07-15 22:57, 0, 0),
(180, Сообщение 182, 2017-07-16 22:57, 0, 0),
(180, Сообщение 183, 2017-07-17 22:57, 0, 0),
(183, Сообщение 184, 2017-07-18 22:57, 0, 0),
(181, Сообщение 185, 2017-07-19 22:57, 0, 0),
(182, Сообщение 186, 2017-07-20 22:57, 0, 0),
(183, Сообщение 187, 2017-07-21 22:57, 0, 0),
(184, Сообщение 188, 2017-07-22 22:57, 0, 0),
(185, Сообщение 189, 2017-07-23 22:57, 0, 0),
(186, Сообщение 190, 2017-07-24 22:57, 0, 0),
(187, Сообщение 191, 2017-07-25 22:57, 0, 0),
(188, Сообщение 192, 2017-07-26 22:57, 0, 0),
(NULL, Сообщение 193, 2017-07-27 22:57, 0, 0),
(190, Сообщение 194, 2017-07-28 22:57, 0, 0),
(191, Сообщение 195, 2017-07-29 22:57, 0, 0),
(192, Сообщение 196, 2017-07-30 22:57, 0, 0),
(193, Сообщение 197, 2017-07-31 22:57, 0, 0),
(194, Сообщение 198, 2017-08-01 22:57, 0, 0),
(195, Сообщение 199, 2017-08-02 22:57, 0, 0),
(196, Сообщение 200, 2017-08-03 22:57, 0, 0),
(197, Сообщение 201, 2017-08-04 22:57, 0, 0),
(198, Сообщение 202, 2017-08-05 22:57, 0, 0),
(199, Сообщение 203, 2017-08-06 22:57, 0, 0),
(200, Сообщение 204, 2017-08-07 22:57, 0, 0),
(NULL, Сообщение 205, 2017-08-08 22:57, 0, 0),
(205, Сообщение 206, 2017-08-09 22:57, 0, 0),
(206, Сообщение 207, 2017-08-10 22:57, 0, 0),
(207, Сообщение 208, 2017-08-11 22:57, 0, 0),
(208, Сообщение 209, 2017-08-12 22:57, 0, 0),
(209, Сообщение 210, 2017-08-13 22:57, 0, 0),
